Source	Revision	Code	Name
mca	201702	110000	北京市
mca	201702	110101	东城区
mca	201702	110102	西城区
mca	201702	110105	朝阳区
mca	201702	110106	丰台区
mca	201702	110107	石景山区
mca	201702	110108	海淀区
mca	201702	110109	门头沟区
mca	201702	110111	房山区
mca	201702	110112	通州区
mca	201702	110113	顺义区
mca	201702	110114	昌平区
mca	201702	110115	大兴区
mca	201702	110116	怀柔区
mca	201702	110117	平谷区
mca	201702	110118	密云区
mca	201702	110119	延庆区
mca	201702	120000	天津市
mca	201702	120101	和平区
mca	201702	120102	河东区
mca	201702	120103	河西区
mca	201702	120104	南开区
mca	201702	120105	河北区
mca	201702	120106	红桥区
mca	201702	120110	东丽区
mca	201702	120111	西青区
mca	201702	120112	津南区
mca	201702	120113	北辰区
mca	201702	120114	武清区
mca	201702	120115	宝坻区
mca	201702	120116	滨海新区
mca	201702	120117	宁河区
mca	201702	120118	静海区
mca	201702	120119	蓟州区
mca	201702	130000	河北省
mca	201702	130100	石家庄市
mca	201702	130102	长安区
mca	201702	130104	桥西区
mca	201702	130105	新华区
mca	201702	130107	井陉矿区
mca	201702	130108	裕华区
mca	201702	130109	藁城区
mca	201702	130110	鹿泉区
mca	201702	130111	栾城区
mca	201702	130121	井陉县
mca	201702	130123	正定县
mca	201702	130125	行唐县
mca	201702	130126	灵寿县
mca	201702	130127	高邑县
mca	201702	130128	深泽县
mca	201702	130129	赞皇县
mca	201702	130130	无极县
mca	201702	130131	平山县
mca	201702	130132	元氏县
mca	201702	130133	赵县
mca	201702	130181	辛集市
mca	201702	130183	晋州市
mca	201702	130184	新乐市
mca	201702	130200	唐山市
mca	201702	130202	路南区
mca	201702	130203	路北区
mca	201702	130204	古冶区
mca	201702	130205	开平区
mca	201702	130207	丰南区
mca	201702	130208	丰润区
mca	201702	130209	曹妃甸区
mca	201702	130223	滦县
mca	201702	130224	滦南县
mca	201702	130225	乐亭县
mca	201702	130227	迁西县
mca	201702	130229	玉田县
mca	201702	130281	遵化市
mca	201702	130283	迁安市
mca	201702	130300	秦皇岛市
mca	201702	130302	海港区
mca	201702	130303	山海关区
mca	201702	130304	北戴河区
mca	201702	130306	抚宁区
mca	201702	130321	青龙满族自治县
mca	201702	130322	昌黎县
mca	201702	130324	卢龙县
mca	201702	130400	邯郸市
mca	201702	130402	邯山区
mca	201702	130403	丛台区
mca	201702	130404	复兴区
mca	201702	130406	峰峰矿区
mca	201702	130407	肥乡区
mca	201702	130408	永年区
mca	201702	130423	临漳县
mca	201702	130424	成安县
mca	201702	130425	大名县
mca	201702	130426	涉县
mca	201702	130427	磁县
mca	201702	130430	邱县
mca	201702	130431	鸡泽县
mca	201702	130432	广平县
mca	201702	130433	馆陶县
mca	201702	130434	魏县
mca	201702	130435	曲周县
mca	201702	130481	武安市
mca	201702	130500	邢台市
mca	201702	130502	桥东区
mca	201702	130503	桥西区
mca	201702	130521	邢台县
mca	201702	130522	临城县
mca	201702	130523	内丘县
mca	201702	130524	柏乡县
mca	201702	130525	隆尧县
mca	201702	130526	任县
mca	201702	130527	南和县
mca	201702	130528	宁晋县
mca	201702	130529	巨鹿县
mca	201702	130530	新河县
mca	201702	130531	广宗县
mca	201702	130532	平乡县
mca	201702	130533	威县
mca	201702	130534	清河县
mca	201702	130535	临西县
mca	201702	130581	南宫市
mca	201702	130582	沙河市
mca	201702	130600	保定市
mca	201702	130602	竞秀区
mca	201702	130606	莲池区
mca	201702	130607	满城区
mca	201702	130608	清苑区
mca	201702	130609	徐水区
mca	201702	130623	涞水县
mca	201702	130624	阜平县
mca	201702	130626	定兴县
mca	201702	130627	唐县
mca	201702	130628	高阳县
mca	201702	130629	容城县
mca	201702	130630	涞源县
mca	201702	130631	望都县
mca	201702	130632	安新县
mca	201702	130633	易县
mca	201702	130634	曲阳县
mca	201702	130635	蠡县
mca	201702	130636	顺平县
mca	201702	130637	博野县
mca	201702	130638	雄县
mca	201702	130681	涿州市
mca	201702	130682	定州市
mca	201702	130683	安国市
