Source	Revision	Code	Name
mca	198712	110000	北京市
mca	198712	110101	东城区
mca	198712	110102	西城区
mca	198712	110103	崇文区
mca	198712	110104	宣武区
mca	198712	110105	朝阳区
mca	198712	110106	丰台区
mca	198712	110107	石景山区
mca	198712	110108	海淀区
mca	198712	110109	门头沟区
mca	198712	110111	房山区
mca	198712	110221	昌平县
mca	198712	110222	顺义县
mca	198712	110223	通县
mca	198712	110224	大兴县
mca	198712	110226	平谷县
mca	198712	110227	怀柔县
mca	198712	110228	密云县
mca	198712	110229	延庆县
mca	198712	120000	天津市
mca	198712	120101	和平区
mca	198712	120102	河东区
mca	198712	120103	河西区
mca	198712	120104	南开区
mca	198712	120105	河北区
mca	198712	120106	红桥区
mca	198712	120107	塘沽区
mca	198712	120108	汉沽区
mca	198712	120109	大港区
mca	198712	120110	东郊区
mca	198712	120111	西郊区
mca	198712	120112	南郊区
mca	198712	120113	北郊区
mca	198712	120221	宁河县
mca	198712	120222	武清县
mca	198712	120223	静海县
mca	198712	120224	宝坻县
mca	198712	120225	蓟县
mca	198712	130000	河北省
mca	198712	130100	石家庄市
mca	198712	130102	长安区
mca	198712	130103	桥东区
mca	198712	130104	桥西区
mca	198712	130105	新华区
mca	198712	130106	郊区
mca	198712	130107	井陉矿区
mca	198712	130121	井陉县
mca	198712	130122	获鹿县
mca	198712	130123	栾城县
mca	198712	130124	正定县
mca	198712	130200	唐山市
mca	198712	130202	路南区
mca	198712	130203	路北区
mca	198712	130204	东矿区
mca	198712	130205	开平区
mca	198712	130206	新区
mca	198712	130221	丰润县
mca	198712	130222	丰南县
mca	198712	130223	滦县
mca	198712	130224	滦南县
mca	198712	130225	乐亭县
mca	198712	130226	迁安县
mca	198712	130227	迁西县
mca	198712	130228	遵化县
mca	198712	130229	玉田县
mca	198712	130230	唐海县
mca	198712	130300	秦皇岛市
mca	198712	130302	海港区
mca	198712	130303	山海关区
mca	198712	130304	北戴河区
mca	198712	130321	青龙满族自治县
mca	198712	130322	昌黎县
mca	198712	130323	抚宁县
mca	198712	130324	卢龙县
mca	198712	130400	邯郸市
mca	198712	130402	邯山区
mca	198712	130403	丛台区
mca	198712	130404	复兴区
mca	198712	130406	峰峰矿区
mca	198712	130421	邯郸县
mca	198712	130422	武安县
mca	198712	130500	邢台市
mca	198712	130502	桥东区
mca	198712	130503	桥西区
mca	198712	130504	郊区
mca	198712	130521	邢台县
mca	198712	130600	保定市
mca	198712	130602	新市区
mca	198712	130603	北市区
mca	198712	130604	南市区
mca	198712	130621	满城县
mca	198712	130622	清苑县
mca	198712	130700	张家口市
mca	198712	130702	桥东区
mca	198712	130703	桥西区
mca	198712	130704	茶坊区
mca	198712	130705	宣化区
mca	198712	130706	下花园区
mca	198712	130707	庞家堡区
mca	198712	130721	宣化县
mca	198712	130800	承德市
mca	198712	130802	双桥区
mca	198712	130803	双滦区
mca	198712	130804	鹰手营子矿区
mca	198712	130821	承德县
mca	198712	130900	沧州市
mca	198712	130902	新华区
mca	198712	130903	运河区
mca	198712	130904	郊区
mca	198712	130921	沧县
mca	198712	130922	青县
mca	198712	132100	邯郸地区
mca	198712	132121	大名县
mca	198712	132122	魏县
mca	198712	132123	曲周县
mca	198712	132124	丘县
mca	198712	132125	鸡泽县
mca	198712	132126	肥乡县
mca	198712	132127	广平县
mca	198712	132128	成安县
mca	198712	132129	临漳县
mca	198712	132130	磁县
mca	198712	132132	涉县
mca	198712	132133	永年县
mca	198712	132135	馆陶县
mca	198712	132200	邢台地区
mca	198712	132201	南宫市
mca	198712	132202	沙河市
mca	198712	132223	临城县
mca	198712	132224	内丘县
mca	198712	132225	柏乡县
mca	198712	132226	隆尧县
mca	198712	132227	任县
mca	198712	132228	南和县
mca	198712	132229	宁晋县
mca	198712	132231	巨鹿县
mca	198712	132232	新河县
mca	198712	132233	广宗县
mca	198712	132234	平乡县
mca	198712	132235	威县
mca	198712	132236	清河县
mca	198712	132237	临西县
mca	198712	132300	石家庄地区
mca	198712	132301	辛集市
mca	198712	132322	晋县
mca	198712	132323	深泽县
mca	198712	132324	无极县
mca	198712	132325	藁城县
mca	198712	132326	赵县
mca	198712	132329	新乐县
mca	198712	132330	高邑县
mca	198712	132331	元氏县
mca	198712	132332	赞皇县
mca	198712	132335	平山县
mca	198712	132336	灵寿县
mca	198712	132337	行唐县
mca	198712	132400	保定地区
mca	198712	132401	定州市
mca	198712	132402	涿州市
mca	198712	132421	易县
mca	198712	132423	徐水县
mca	198712	132424	涞源县
mca	198712	132425	定兴县
mca	198712	132426	完县
mca	198712	132427	唐县
mca	198712	132428	望都县
mca	198712	132429	涞水县
mca	198712	132432	高阳县
mca	198712	132433	安新县
mca	198712	132434	雄县
mca	198712	132435	容城县
mca	198712	132436	新城县
mca	198712	132437	曲阳县
mca	198712	132438	阜平县
mca	198712	132440	安国县
mca	198712	132441	博野县
mca	198712	132442	蠡县
mca	198712	132500	张家口地区
mca	198712	132521	张北县
mca	198712	132522	康保县
mca	198712	132523	沽源县
mca	198712	132524	尚义县
mca	198712	132525	蔚县
mca	198712	132526	阳原县
mca	198712	132527	怀安县
mca	198712	132528	万全县
mca	198712	132529	怀来县
mca	198712	132530	涿鹿县
mca	198712	132532	赤城县
mca	198712	132533	崇礼县
mca	198712	132600	承德地区
mca	198712	132622	宽城县
mca	198712	132623	兴隆县
mca	198712	132624	平泉县
mca	198712	132626	滦平县
mca	198712	132627	丰宁满族自治县
mca	198712	132628	隆化县
mca	198712	132629	围场县
mca	198712	132800	廊坊地区
mca	198712	132801	廊坊市
mca	198712	132821	三河县
mca	198712	132822	大厂回族自治县
mca	198712	132823	香河县
mca	198712	132825	永清县
mca	198712	132826	固安县
mca	198712	132827	霸县
mca	198712	132828	文安县
mca	198712	132829	大城县
mca	198712	132900	沧州地区
mca	198712	132902	泊头市
mca	198712	132903	任丘市
mca	198712	132922	河间县
mca	198712	132923	肃宁县
mca	198712	132924	献县
mca	198712	132926	吴桥县
mca	198712	132927	东光县
mca	198712	132928	南皮县
mca	198712	132929	盐山县
mca	198712	132930	黄骅县
mca	198712	132931	孟村回族自治县
mca	198712	132934	海兴县
mca	198712	133000	衡水地区
mca	198712	133001	衡水市
mca	198712	133022	冀县
mca	198712	133023	枣强县
mca	198712	133024	武邑县
mca	198712	133025	深县
mca	198712	133026	武强县
mca	198712	133027	饶阳县
mca	198712	133028	安平县
mca	198712	133029	故城县
mca	198712	133030	景县
mca	198712	133031	阜城县
mca	198712	140000	山西省
mca	198712	140100	太原市
mca	198712	140102	南城区
mca	198712	140103	北城区
mca	198712	140104	河西区
mca	198712	140111	古交工矿区
mca	198712	140112	南郊区
mca	198712	140113	北郊区
mca	198712	140121	清徐县
mca	198712	140122	阳曲县
mca	198712	140123	娄烦县
mca	198712	140200	大同市
mca	198712	140202	城区
mca	198712	140203	矿区
mca	198712	140211	南郊区
mca	198712	140212	新荣区
mca	198712	140300	阳泉市
mca	198712	140302	城区
mca	198712	140303	矿区
mca	198712	140311	郊区
mca	198712	140321	平定县
mca	198712	140322	盂县
mca	198712	140400	长治市
mca	198712	140402	城区
mca	198712	140411	郊区
mca	198712	140421	长治县
mca	198712	140422	潞城县
mca	198712	140423	襄垣县
mca	198712	140424	屯留县
mca	198712	140425	平顺县
mca	198712	140426	黎城县
mca	198712	140427	壶关县
mca	198712	140428	长子县
mca	198712	140429	武乡县
